"bigram","n","year","score","category"
"monthly fee",33,2015,1,"Active Life"
"nthe staff",33,2015,1,"Active Life"
"free weights",32,2015,1,"Active Life"
"friday night",32,2015,1,"Active Life"
"0 stars",31,2015,1,"Active Life"
"5 times",31,2015,1,"Active Life"
"gold's gym",31,2015,1,"Active Life"
NA,2705,2015,1,"Arts & Entertainment"
NA,2594,2015,1,"Arts & Entertainment"
NA,2414,2015,1,"Arts & Entertainment"
NA,2349,2015,1,"Arts & Entertainment"
NA,1858,2015,1,"Arts & Entertainment"
NA,1678,2015,1,"Arts & Entertainment"
NA,1586,2015,1,"Arts & Entertainment"
NA,1569,2015,1,"Arts & Entertainment"
NA,1305,2015,1,"Arts & Entertainment"
NA,1291,2015,1,"Arts & Entertainment"
NA,1252,2015,1,"Arts & Entertainment"
NA,1225,2015,1,"Arts & Entertainment"
NA,1212,2015,1,"Arts & Entertainment"
NA,1117,2015,1,"Arts & Entertainment"
NA,1115,2015,1,"Arts & Entertainment"
NA,1105,2015,1,"Arts & Entertainment"
NA,1103,2015,1,"Arts & Entertainment"
NA,1096,2015,1,"Arts & Entertainment"
NA,1086,2015,1,"Arts & Entertainment"
NA,1062,2015,1,"Arts & Entertainment"
NA,1030,2015,1,"Arts & Entertainment"
NA,1027,2015,1,"Arts & Entertainment"
NA,1020,2015,1,"Arts & Entertainment"
NA,976,2015,1,"Arts & Entertainment"
NA,913,2015,1,"Arts & Entertainment"
NA,888,2015,1,"Arts & Entertainment"
NA,878,2015,1,"Arts & Entertainment"
NA,877,2015,1,"Arts & Entertainment"
NA,873,2015,1,"Arts & Entertainment"
NA,831,2015,1,"Arts & Entertainment"
NA,831,2015,1,"Arts & Entertainment"
NA,824,2015,1,"Arts & Entertainment"
NA,775,2015,1,"Arts & Entertainment"
NA,767,2015,1,"Arts & Entertainment"
NA,759,2015,1,"Arts & Entertainment"
NA,748,2015,1,"Arts & Entertainment"
NA,744,2015,1,"Arts & Entertainment"
NA,738,2015,1,"Arts & Entertainment"
NA,735,2015,1,"Arts & Entertainment"
NA,735,2015,1,"Arts & Entertainment"
NA,721,2015,1,"Arts & Entertainment"
NA,718,2015,1,"Arts & Entertainment"
NA,711,2015,1,"Arts & Entertainment"
NA,706,2015,1,"Arts & Entertainment"
NA,701,2015,1,"Arts & Entertainment"
NA,669,2015,1,"Arts & Entertainment"
NA,660,2015,1,"Arts & Entertainment"
NA,649,2015,1,"Arts & Entertainment"
NA,641,2015,1,"Arts & Entertainment"
NA,626,2015,1,"Arts & Entertainment"
NA,625,2015,1,"Arts & Entertainment"
NA,625,2015,1,"Arts & Entertainment"
NA,615,2015,1,"Arts & Entertainment"
NA,591,2015,1,"Arts & Entertainment"
NA,581,2015,1,"Arts & Entertainment"
NA,572,2015,1,"Arts & Entertainment"
NA,569,2015,1,"Arts & Entertainment"
NA,568,2015,1,"Arts & Entertainment"
NA,565,2015,1,"Arts & Entertainment"
NA,558,2015,1,"Arts & Entertainment"
NA,556,2015,1,"Arts & Entertainment"
NA,551,2015,1,"Arts & Entertainment"
NA,545,2015,1,"Arts & Entertainment"
NA,544,2015,1,"Arts & Entertainment"
NA,537,2015,1,"Arts & Entertainment"
NA,522,2015,1,"Arts & Entertainment"
NA,520,2015,1,"Arts & Entertainment"
NA,519,2015,1,"Arts & Entertainment"
NA,509,2015,1,"Arts & Entertainment"
NA,505,2015,1,"Arts & Entertainment"
NA,503,2015,1,"Arts & Entertainment"
NA,502,2015,1,"Arts & Entertainment"
NA,491,2015,1,"Arts & Entertainment"
NA,488,2015,1,"Arts & Entertainment"
NA,485,2015,1,"Arts & Entertainment"
NA,476,2015,1,"Arts & Entertainment"
NA,475,2015,1,"Arts & Entertainment"
NA,474,2015,1,"Arts & Entertainment"
NA,467,2015,1,"Arts & Entertainment"
NA,464,2015,1,"Arts & Entertainment"
NA,464,2015,1,"Arts & Entertainment"
NA,463,2015,1,"Arts & Entertainment"
NA,463,2015,1,"Arts & Entertainment"
NA,461,2015,1,"Arts & Entertainment"
NA,460,2015,1,"Arts & Entertainment"
NA,458,2015,1,"Arts & Entertainment"
NA,450,2015,1,"Arts & Entertainment"
NA,447,2015,1,"Arts & Entertainment"
NA,446,2015,1,"Arts & Entertainment"
NA,446,2015,1,"Arts & Entertainment"
NA,445,2015,1,"Arts & Entertainment"
NA,441,2015,1,"Arts & Entertainment"
NA,439,2015,1,"Arts & Entertainment"
NA,438,2015,1,"Arts & Entertainment"
NA,436,2015,1,"Arts & Entertainment"
NA,435,2015,1,"Arts & Entertainment"
NA,432,2015,1,"Arts & Entertainment"
NA,432,2015,1,"Arts & Entertainment"
NA,431,2015,1,"Arts & Entertainment"
NA,430,2015,1,"Arts & Entertainment"
NA,2502,2015,1,"Automotive"
NA,2171,2015,1,"Automotive"
NA,1559,2015,1,"Automotive"
NA,748,2015,1,"Automotive"
NA,488,2015,1,"Automotive"
NA,453,2015,1,"Automotive"
NA,428,2015,1,"Automotive"
NA,371,2015,1,"Automotive"
NA,361,2015,1,"Automotive"
NA,354,2015,1,"Automotive"
NA,332,2015,1,"Automotive"
NA,323,2015,1,"Automotive"
NA,308,2015,1,"Automotive"
NA,306,2015,1,"Automotive"
NA,306,2015,1,"Automotive"
NA,297,2015,1,"Automotive"
NA,289,2015,1,"Automotive"
NA,287,2015,1,"Automotive"
NA,280,2015,1,"Automotive"
NA,260,2015,1,"Automotive"
NA,256,2015,1,"Automotive"
NA,248,2015,1,"Automotive"
NA,247,2015,1,"Automotive"
NA,245,2015,1,"Automotive"
NA,239,2015,1,"Automotive"
NA,239,2015,1,"Automotive"
NA,239,2015,1,"Automotive"
NA,233,2015,1,"Automotive"
NA,229,2015,1,"Automotive"
NA,221,2015,1,"Automotive"
NA,219,2015,1,"Automotive"
NA,217,2015,1,"Automotive"
NA,211,2015,1,"Automotive"
NA,208,2015,1,"Automotive"
NA,205,2015,1,"Automotive"
NA,205,2015,1,"Automotive"
NA,194,2015,1,"Automotive"
NA,194,2015,1,"Automotive"
NA,189,2015,1,"Automotive"
NA,186,2015,1,"Automotive"
NA,184,2015,1,"Automotive"
NA,183,2015,1,"Automotive"
NA,181,2015,1,"Automotive"
NA,173,2015,1,"Automotive"
NA,169,2015,1,"Automotive"
NA,163,2015,1,"Automotive"
NA,162,2015,1,"Automotive"
NA,162,2015,1,"Automotive"
NA,161,2015,1,"Automotive"
NA,159,2015,1,"Automotive"
NA,157,2015,1,"Automotive"
NA,157,2015,1,"Automotive"
NA,155,2015,1,"Automotive"
NA,153,2015,1,"Automotive"
NA,152,2015,1,"Automotive"
NA,151,2015,1,"Automotive"
NA,151,2015,1,"Automotive"
NA,150,2015,1,"Automotive"
NA,148,2015,1,"Automotive"
NA,148,2015,1,"Automotive"
NA,144,2015,1,"Automotive"
NA,144,2015,1,"Automotive"
NA,142,2015,1,"Automotive"
NA,141,2015,1,"Automotive"
NA,140,2015,1,"Automotive"
NA,139,2015,1,"Automotive"
NA,137,2015,1,"Automotive"
NA,135,2015,1,"Automotive"
NA,135,2015,1,"Automotive"
NA,135,2015,1,"Automotive"
NA,131,2015,1,"Automotive"
NA,131,2015,1,"Automotive"
NA,131,2015,1,"Automotive"
NA,129,2015,1,"Automotive"
NA,129,2015,1,"Automotive"
NA,128,2015,1,"Automotive"
NA,126,2015,1,"Automotive"
NA,123,2015,1,"Automotive"
NA,122,2015,1,"Automotive"
NA,121,2015,1,"Automotive"
NA,121,2015,1,"Automotive"
NA,117,2015,1,"Automotive"
NA,114,2015,1,"Automotive"
NA,113,2015,1,"Automotive"
NA,113,2015,1,"Automotive"
NA,113,2015,1,"Automotive"
NA,111,2015,1,"Automotive"
NA,111,2015,1,"Automotive"
NA,110,2015,1,"Automotive"
NA,106,2015,1,"Automotive"
NA,105,2015,1,"Automotive"
NA,104,2015,1,"Automotive"
NA,104,2015,1,"Automotive"
NA,102,2015,1,"Automotive"
NA,99,2015,1,"Automotive"
NA,99,2015,1,"Automotive"
NA,98,2015,1,"Automotive"
NA,97,2015,1,"Automotive"
NA,97,2015,1,"Automotive"
NA,94,2015,1,"Automotive"
NA,1950,2015,1,"Beauty & Spas"
NA,795,2015,1,"Beauty & Spas"
NA,620,2015,1,"Beauty & Spas"
NA,582,2015,1,"Beauty & Spas"
NA,560,2015,1,"Beauty & Spas"
NA,528,2015,1,"Beauty & Spas"
NA,487,2015,1,"Beauty & Spas"
NA,440,2015,1,"Beauty & Spas"
NA,425,2015,1,"Beauty & Spas"
NA,421,2015,1,"Beauty & Spas"
NA,393,2015,1,"Beauty & Spas"
NA,392,2015,1,"Beauty & Spas"
NA,379,2015,1,"Beauty & Spas"
NA,293,2015,1,"Beauty & Spas"
NA,260,2015,1,"Beauty & Spas"
NA,243,2015,1,"Beauty & Spas"
NA,230,2015,1,"Beauty & Spas"
NA,226,2015,1,"Beauty & Spas"
NA,220,2015,1,"Beauty & Spas"
NA,202,2015,1,"Beauty & Spas"
NA,195,2015,1,"Beauty & Spas"
NA,194,2015,1,"Beauty & Spas"
NA,191,2015,1,"Beauty & Spas"
NA,190,2015,1,"Beauty & Spas"
NA,190,2015,1,"Beauty & Spas"
NA,189,2015,1,"Beauty & Spas"
NA,187,2015,1,"Beauty & Spas"
NA,184,2015,1,"Beauty & Spas"
NA,182,2015,1,"Beauty & Spas"
NA,175,2015,1,"Beauty & Spas"
NA,170,2015,1,"Beauty & Spas"
NA,163,2015,1,"Beauty & Spas"
NA,161,2015,1,"Beauty & Spas"
NA,160,2015,1,"Beauty & Spas"
NA,157,2015,1,"Beauty & Spas"
NA,156,2015,1,"Beauty & Spas"
NA,153,2015,1,"Beauty & Spas"
NA,149,2015,1,"Beauty & Spas"
NA,148,2015,1,"Beauty & Spas"
NA,146,2015,1,"Beauty & Spas"
NA,146,2015,1,"Beauty & Spas"
NA,145,2015,1,"Beauty & Spas"
NA,143,2015,1,"Beauty & Spas"
NA,141,2015,1,"Beauty & Spas"
NA,135,2015,1,"Beauty & Spas"
NA,134,2015,1,"Beauty & Spas"
NA,133,2015,1,"Beauty & Spas"
NA,132,2015,1,"Beauty & Spas"
NA,129,2015,1,"Beauty & Spas"
NA,128,2015,1,"Beauty & Spas"
NA,128,2015,1,"Beauty & Spas"
NA,124,2015,1,"Beauty & Spas"
NA,123,2015,1,"Beauty & Spas"
NA,123,2015,1,"Beauty & Spas"
NA,118,2015,1,"Beauty & Spas"
NA,118,2015,1,"Beauty & Spas"
NA,118,2015,1,"Beauty & Spas"
NA,118,2015,1,"Beauty & Spas"
NA,114,2015,1,"Beauty & Spas"
NA,113,2015,1,"Beauty & Spas"
NA,111,2015,1,"Beauty & Spas"
NA,108,2015,1,"Beauty & Spas"
NA,107,2015,1,"Beauty & Spas"
NA,107,2015,1,"Beauty & Spas"
NA,106,2015,1,"Beauty & Spas"
NA,106,2015,1,"Beauty & Spas"
NA,105,2015,1,"Beauty & Spas"
NA,104,2015,1,"Beauty & Spas"
NA,102,2015,1,"Beauty & Spas"
NA,101,2015,1,"Beauty & Spas"
NA,101,2015,1,"Beauty & Spas"
NA,97,2015,1,"Beauty & Spas"
NA,97,2015,1,"Beauty & Spas"
NA,95,2015,1,"Beauty & Spas"
NA,94,2015,1,"Beauty & Spas"
NA,93,2015,1,"Beauty & Spas"
NA,93,2015,1,"Beauty & Spas"
NA,92,2015,1,"Beauty & Spas"
NA,90,2015,1,"Beauty & Spas"
NA,88,2015,1,"Beauty & Spas"
NA,87,2015,1,"Beauty & Spas"
NA,87,2015,1,"Beauty & Spas"
NA,86,2015,1,"Beauty & Spas"
NA,85,2015,1,"Beauty & Spas"
NA,84,2015,1,"Beauty & Spas"
NA,84,2015,1,"Beauty & Spas"
NA,84,2015,1,"Beauty & Spas"
NA,83,2015,1,"Beauty & Spas"
NA,82,2015,1,"Beauty & Spas"
NA,82,2015,1,"Beauty & Spas"
NA,82,2015,1,"Beauty & Spas"
NA,81,2015,1,"Beauty & Spas"
NA,81,2015,1,"Beauty & Spas"
NA,81,2015,1,"Beauty & Spas"
NA,80,2015,1,"Beauty & Spas"
NA,80,2015,1,"Beauty & Spas"
NA,80,2015,1,"Beauty & Spas"
NA,79,2015,1,"Beauty & Spas"
NA,79,2015,1,"Beauty & Spas"
NA,79,2015,1,"Beauty & Spas"
NA,122,2015,1,"Education"
NA,62,2015,1,"Education"
NA,35,2015,1,"Education"
NA,34,2015,1,"Education"
NA,33,2015,1,"Education"
NA,31,2015,1,"Education"
NA,28,2015,1,"Education"
NA,28,2015,1,"Education"
NA,25,2015,1,"Education"
NA,25,2015,1,"Education"
NA,24,2015,1,"Education"
NA,24,2015,1,"Education"
NA,24,2015,1,"Education"
NA,23,2015,1,"Education"
NA,21,2015,1,"Education"
NA,21,2015,1,"Education"
NA,20,2015,1,"Education"
NA,20,2015,1,"Education"
NA,19,2015,1,"Education"
NA,19,2015,1,"Education"
NA,18,2015,1,"Education"
NA,18,2015,1,"Education"
NA,18,2015,1,"Education"
NA,18,2015,1,"Education"
NA,17,2015,1,"Education"
NA,17,2015,1,"Education"
NA,16,2015,1,"Education"
NA,15,2015,1,"Education"
NA,15,2015,1,"Education"
NA,15,2015,1,"Education"
NA,15,2015,1,"Education"
NA,14,2015,1,"Education"
NA,14,2015,1,"Education"
NA,14,2015,1,"Education"
NA,13,2015,1,"Education"
NA,13,2015,1,"Education"
NA,13,2015,1,"Education"
NA,13,2015,1,"Education"
NA,13,2015,1,"Education"
NA,12,2015,1,"Education"
NA,12,2015,1,"Education"
NA,12,2015,1,"Education"
NA,12,2015,1,"Education"
NA,11,2015,1,"Education"
NA,11,2015,1,"Education"
NA,11,2015,1,"Education"
NA,11,2015,1,"Education"
NA,11,2015,1,"Education"
NA,11,2015,1,"Education"
NA,11,2015,1,"Education"
NA,10,2015,1,"Education"
NA,10,2015,1,"Education"
NA,10,2015,1,"Education"
NA,10,2015,1,"Education"
NA,10,2015,1,"Education"
NA,10,2015,1,"Education"
NA,10,2015,1,"Education"
NA,10,2015,1,"Education"
NA,10,2015,1,"Education"
NA,10,2015,1,"Education"
NA,10,2015,1,"Education"
NA,10,2015,1,"Education"
NA,9,2015,1,"Education"
NA,9,2015,1,"Education"
NA,9,2015,1,"Education"
NA,9,2015,1,"Education"
NA,9,2015,1,"Education"
NA,9,2015,1,"Education"
NA,9,2015,1,"Education"
NA,9,2015,1,"Education"
NA,9,2015,1,"Education"
NA,9,2015,1,"Education"
NA,8,2015,1,"Education"
NA,8,2015,1,"Education"
NA,8,2015,1,"Education"
NA,8,2015,1,"Education"
NA,8,2015,1,"Education"
NA,8,2015,1,"Education"
NA,8,2015,1,"Education"
NA,8,2015,1,"Education"
NA,8,2015,1,"Education"
NA,8,2015,1,"Education"
NA,8,2015,1,"Education"
NA,8,2015,1,"Education"
NA,8,2015,1,"Education"
NA,8,2015,1,"Education"
NA,8,2015,1,"Education"
NA,7,2015,1,"Education"
NA,7,2015,1,"Education"
NA,7,2015,1,"Education"
NA,7,2015,1,"Education"
NA,7,2015,1,"Education"
NA,7,2015,1,"Education"
NA,7,2015,1,"Education"
NA,7,2015,1,"Education"
NA,7,2015,1,"Education"
NA,7,2015,1,"Education"
NA,7,2015,1,"Education"
NA,7,2015,1,"Education"
NA,7,2015,1,"Education"
NA,3793,2015,1,"Event Planning & Services"
NA,2269,2015,1,"Event Planning & Services"
NA,949,2015,1,"Event Planning & Services"
NA,770,2015,1,"Event Planning & Services"
NA,577,2015,1,"Event Planning & Services"
NA,566,2015,1,"Event Planning & Services"
NA,559,2015,1,"Event Planning & Services"
NA,543,2015,1,"Event Planning & Services"
NA,533,2015,1,"Event Planning & Services"
NA,381,2015,1,"Event Planning & Services"
NA,329,2015,1,"Event Planning & Services"
NA,326,2015,1,"Event Planning & Services"
NA,317,2015,1,"Event Planning & Services"
NA,316,2015,1,"Event Planning & Services"
NA,313,2015,1,"Event Planning & Services"
NA,306,2015,1,"Event Planning & Services"
NA,294,2015,1,"Event Planning & Services"
NA,289,2015,1,"Event Planning & Services"
NA,268,2015,1,"Event Planning & Services"
NA,252,2015,1,"Event Planning & Services"
NA,244,2015,1,"Event Planning & Services"
NA,237,2015,1,"Event Planning & Services"
NA,221,2015,1,"Event Planning & Services"
NA,211,2015,1,"Event Planning & Services"
NA,204,2015,1,"Event Planning & Services"
NA,203,2015,1,"Event Planning & Services"
NA,201,2015,1,"Event Planning & Services"
NA,188,2015,1,"Event Planning & Services"
NA,184,2015,1,"Event Planning & Services"
NA,182,2015,1,"Event Planning & Services"
NA,181,2015,1,"Event Planning & Services"
NA,177,2015,1,"Event Planning & Services"
NA,176,2015,1,"Event Planning & Services"
NA,175,2015,1,"Event Planning & Services"
NA,174,2015,1,"Event Planning & Services"
NA,173,2015,1,"Event Planning & Services"
NA,172,2015,1,"Event Planning & Services"
NA,171,2015,1,"Event Planning & Services"
NA,171,2015,1,"Event Planning & Services"
NA,162,2015,1,"Event Planning & Services"
NA,162,2015,1,"Event Planning & Services"
NA,162,2015,1,"Event Planning & Services"
NA,162,2015,1,"Event Planning & Services"
NA,161,2015,1,"Event Planning & Services"
NA,161,2015,1,"Event Planning & Services"
NA,159,2015,1,"Event Planning & Services"
NA,157,2015,1,"Event Planning & Services"
NA,156,2015,1,"Event Planning & Services"
NA,156,2015,1,"Event Planning & Services"
NA,153,2015,1,"Event Planning & Services"
NA,151,2015,1,"Event Planning & Services"
NA,150,2015,1,"Event Planning & Services"
NA,149,2015,1,"Event Planning & Services"
NA,149,2015,1,"Event Planning & Services"
NA,146,2015,1,"Event Planning & Services"
NA,145,2015,1,"Event Planning & Services"
NA,144,2015,1,"Event Planning & Services"
NA,142,2015,1,"Event Planning & Services"
NA,142,2015,1,"Event Planning & Services"
NA,141,2015,1,"Event Planning & Services"
NA,141,2015,1,"Event Planning & Services"
NA,141,2015,1,"Event Planning & Services"
NA,140,2015,1,"Event Planning & Services"
NA,140,2015,1,"Event Planning & Services"
NA,140,2015,1,"Event Planning & Services"
NA,139,2015,1,"Event Planning & Services"
NA,138,2015,1,"Event Planning & Services"
NA,136,2015,1,"Event Planning & Services"
NA,135,2015,1,"Event Planning & Services"
NA,134,2015,1,"Event Planning & Services"
NA,134,2015,1,"Event Planning & Services"
NA,133,2015,1,"Event Planning & Services"
NA,128,2015,1,"Event Planning & Services"
NA,126,2015,1,"Event Planning & Services"
NA,126,2015,1,"Event Planning & Services"
NA,125,2015,1,"Event Planning & Services"
NA,124,2015,1,"Event Planning & Services"
NA,122,2015,1,"Event Planning & Services"
NA,121,2015,1,"Event Planning & Services"
NA,121,2015,1,"Event Planning & Services"
NA,120,2015,1,"Event Planning & Services"
NA,119,2015,1,"Event Planning & Services"
NA,118,2015,1,"Event Planning & Services"
NA,118,2015,1,"Event Planning & Services"
NA,117,2015,1,"Event Planning & Services"
NA,116,2015,1,"Event Planning & Services"
NA,115,2015,1,"Event Planning & Services"
NA,115,2015,1,"Event Planning & Services"
NA,113,2015,1,"Event Planning & Services"
NA,113,2015,1,"Event Planning & Services"
NA,112,2015,1,"Event Planning & Services"
NA,110,2015,1,"Event Planning & Services"
NA,109,2015,1,"Event Planning & Services"
NA,109,2015,1,"Event Planning & Services"
NA,108,2015,1,"Event Planning & Services"
NA,107,2015,1,"Event Planning & Services"
NA,106,2015,1,"Event Planning & Services"
NA,105,2015,1,"Event Planning & Services"
NA,105,2015,1,"Event Planning & Services"
NA,104,2015,1,"Event Planning & Services"
NA,510,2015,1,"Financial Services"
NA,120,2015,1,"Financial Services"
NA,120,2015,1,"Financial Services"
NA,63,2015,1,"Financial Services"
NA,59,2015,1,"Financial Services"
NA,52,2015,1,"Financial Services"
NA,51,2015,1,"Financial Services"
NA,51,2015,1,"Financial Services"
NA,47,2015,1,"Financial Services"
NA,47,2015,1,"Financial Services"
NA,45,2015,1,"Financial Services"
NA,43,2015,1,"Financial Services"
NA,38,2015,1,"Financial Services"
NA,36,2015,1,"Financial Services"
NA,35,2015,1,"Financial Services"
NA,35,2015,1,"Financial Services"
NA,34,2015,1,"Financial Services"
NA,33,2015,1,"Financial Services"
NA,33,2015,1,"Financial Services"
NA,33,2015,1,"Financial Services"
NA,32,2015,1,"Financial Services"
NA,32,2015,1,"Financial Services"
NA,31,2015,1,"Financial Services"
NA,31,2015,1,"Financial Services"
NA,31,2015,1,"Financial Services"
NA,30,2015,1,"Financial Services"
NA,30,2015,1,"Financial Services"
NA,29,2015,1,"Financial Services"
NA,29,2015,1,"Financial Services"
NA,29,2015,1,"Financial Services"
NA,29,2015,1,"Financial Services"
NA,28,2015,1,"Financial Services"
NA,27,2015,1,"Financial Services"
NA,27,2015,1,"Financial Services"
NA,27,2015,1,"Financial Services"
NA,26,2015,1,"Financial Services"
NA,26,2015,1,"Financial Services"
NA,25,2015,1,"Financial Services"
NA,25,2015,1,"Financial Services"
NA,25,2015,1,"Financial Services"
NA,24,2015,1,"Financial Services"
NA,23,2015,1,"Financial Services"
NA,23,2015,1,"Financial Services"
NA,22,2015,1,"Financial Services"
NA,22,2015,1,"Financial Services"
NA,22,2015,1,"Financial Services"
NA,21,2015,1,"Financial Services"
NA,21,2015,1,"Financial Services"
NA,21,2015,1,"Financial Services"
NA,20,2015,1,"Financial Services"
NA,20,2015,1,"Financial Services"
NA,20,2015,1,"Financial Services"
NA,20,2015,1,"Financial Services"
NA,20,2015,1,"Financial Services"
NA,20,2015,1,"Financial Services"
NA,19,2015,1,"Financial Services"
NA,19,2015,1,"Financial Services"
NA,19,2015,1,"Financial Services"
NA,19,2015,1,"Financial Services"
NA,19,2015,1,"Financial Services"
NA,19,2015,1,"Financial Services"
NA,19,2015,1,"Financial Services"
NA,19,2015,1,"Financial Services"
NA,19,2015,1,"Financial Services"
NA,18,2015,1,"Financial Services"
NA,18,2015,1,"Financial Services"
NA,18,2015,1,"Financial Services"
NA,18,2015,1,"Financial Services"
NA,18,2015,1,"Financial Services"
NA,18,2015,1,"Financial Services"
NA,17,2015,1,"Financial Services"
NA,17,2015,1,"Financial Services"
NA,17,2015,1,"Financial Services"
NA,17,2015,1,"Financial Services"
NA,17,2015,1,"Financial Services"
NA,17,2015,1,"Financial Services"
NA,17,2015,1,"Financial Services"
NA,17,2015,1,"Financial Services"
NA,17,2015,1,"Financial Services"
NA,17,2015,1,"Financial Services"
NA,17,2015,1,"Financial Services"
NA,16,2015,1,"Financial Services"
NA,16,2015,1,"Financial Services"
NA,16,2015,1,"Financial Services"
NA,16,2015,1,"Financial Services"
NA,16,2015,1,"Financial Services"
NA,16,2015,1,"Financial Services"
NA,16,2015,1,"Financial Services"
NA,16,2015,1,"Financial Services"
NA,16,2015,1,"Financial Services"
NA,16,2015,1,"Financial Services"
NA,16,2015,1,"Financial Services"
NA,16,2015,1,"Financial Services"
NA,16,2015,1,"Financial Services"
NA,16,2015,1,"Financial Services"
NA,15,2015,1,"Financial Services"
NA,15,2015,1,"Financial Services"
NA,15,2015,1,"Financial Services"
NA,15,2015,1,"Financial Services"
NA,15,2015,1,"Financial Services"
NA,21483,2015,1,"Food"
NA,12550,2015,1,"Food"
NA,11451,2015,1,"Food"
NA,6950,2015,1,"Food"
NA,5641,2015,1,"Food"
NA,5329,2015,1,"Food"
NA,5154,2015,1,"Food"
NA,4975,2015,1,"Food"
NA,4894,2015,1,"Food"
NA,4779,2015,1,"Food"
NA,4709,2015,1,"Food"
NA,4446,2015,1,"Food"
NA,4335,2015,1,"Food"
NA,4248,2015,1,"Food"
NA,4148,2015,1,"Food"
NA,3934,2015,1,"Food"
NA,3893,2015,1,"Food"
NA,3872,2015,1,"Food"
NA,3838,2015,1,"Food"
NA,3645,2015,1,"Food"
NA,3632,2015,1,"Food"
NA,3474,2015,1,"Food"
NA,3466,2015,1,"Food"
NA,3385,2015,1,"Food"
NA,3276,2015,1,"Food"
NA,3253,2015,1,"Food"
NA,3242,2015,1,"Food"
NA,3211,2015,1,"Food"
NA,3004,2015,1,"Food"
NA,2949,2015,1,"Food"
NA,2914,2015,1,"Food"
NA,2908,2015,1,"Food"
NA,2887,2015,1,"Food"
NA,2842,2015,1,"Food"
